task_name,task_id,issue_reason
add_table,84,duplicate_question
add_table,92,duplicate_question
add_table,93,duplicate_question
add_table,95,duplicate_question
add_table,96,duplicate_question
add_table,97,duplicate_question
add_table,98,duplicate_question
add_table,99,duplicate_question
add_table,100,duplicate_question
add_table,102,duplicate_question
add_table,101,duplicate_question
add_table,103,duplicate_question
add_table,104,duplicate_question
add_table,107,duplicate_question
add_table,105,duplicate_question
add_table,109,duplicate_question
add_table,111,duplicate_question
add_table,112,duplicate_question
add_table,115,duplicate_question
add_table,113,duplicate_question
add_table,116,duplicate_question
add_table,114,duplicate_question
add_table,117,duplicate_question
add_table,89,duplicate_question
add_table,119,duplicate_question
add_table,121,duplicate_question
add_table,122,duplicate_question
add_table,120,duplicate_question
add_table,124,duplicate_question
add_table,123,duplicate_question
add_table,125,duplicate_question
add_table,88,duplicate_question
add_table,86,duplicate_question
add_table,90,duplicate_question
add_table,108,duplicate_question
add_table,106,duplicate_question
add_table,132,duplicate_question
add_table,131,duplicate_question
add_table,133,duplicate_question
add_table,134,duplicate_question
add_table,135,duplicate_question
add_table,110,duplicate_question
add_table,137,duplicate_question
add_table,118,duplicate_question
add_table,139,duplicate_question
add_table,126,duplicate_question
add_table,142,duplicate_question
add_table,141,duplicate_question
add_table,143,duplicate_question
add_table,144,duplicate_question
add_table,147,duplicate_question
add_table,145,duplicate_question
add_table,146,duplicate_question
add_table,127,duplicate_question
add_table,129,duplicate_question
add_table,149,duplicate_question
add_table,151,duplicate_question
add_table,152,duplicate_question
add_table,154,duplicate_question
add_table,153,duplicate_question
add_table,156,duplicate_question
add_table,155,duplicate_question
add_table,157,duplicate_question
add_table,158,duplicate_question
add_table,160,duplicate_question
add_table,11,duplicate_question
add_table,159,duplicate_question
revise_table,6,system_prompt_error
add_table,128,duplicate_question
add_table,138,duplicate_question
add_table,136,duplicate_question
add_table,130,duplicate_question
add_table,148,duplicate_question
add_table,140,duplicate_question
revise_table,17,system_prompt_error
revise_table,7,system_prompt_error
revise_table,20,system_prompt_error
revise_table,26,system_prompt_error
revise_table,27,system_prompt_error
revise_table,10,system_prompt_error
add_table,150,duplicate_question
revise_table,8,system_prompt_error
revise_table,36,system_prompt_error
revise_table,37,system_prompt_error
revise_table,9,system_prompt_error
revise_table,39,system_prompt_error
add_table,5,duplicate_question
revise_table,40,system_prompt_error
revise_table,16,system_prompt_error
revise_table,46,system_prompt_error
revise_table,47,system_prompt_error
revise_table,48,system_prompt_error
revise_table,49,system_prompt_error
revise_table,50,system_prompt_error
revise_table,18,system_prompt_error
revise_table,28,system_prompt_error
revise_table,56,system_prompt_error
revise_table,59,system_prompt_error
revise_table,58,system_prompt_error
revise_table,57,system_prompt_error
revise_table,60,system_prompt_error
revise_table,19,system_prompt_error
revise_table,29,system_prompt_error
revise_table,30,system_prompt_error
revise_table,67,system_prompt_error
revise_table,66,system_prompt_error
revise_table,68,system_prompt_error
revise_table,69,system_prompt_error
revise_table,38,system_prompt_error
revise_table,70,system_prompt_error
revise_table,76,system_prompt_error
revise_table,77,system_prompt_error
revise_table,79,system_prompt_error
revise_table,83,duplicate_question
revise_table,78,system_prompt_error
revise_table,82,duplicate_question
revise_table,80,system_prompt_error
revise_table,81,duplicate_question
revise_table,85,duplicate_question
revise_table,86,duplicate_question
revise_table,84,duplicate_question
add_table,7,duplicate_question
revise_table,91,duplicate_question
add_table,3,duplicate_question
revise_table,94,duplicate_question
revise_table,93,duplicate_question
revise_table,95,duplicate_question
revise_table,90,duplicate_question
revise_table,92,duplicate_question
revise_table,97,duplicate_question
revise_table,100,duplicate_question
revise_table,101,duplicate_question
revise_table,106,duplicate_question
revise_table,107,duplicate_question
revise_table,103,duplicate_question
revise_table,102,duplicate_question
revise_table,105,duplicate_question
revise_table,104,duplicate_question
revise_table,87,duplicate_question
revise_table,89,duplicate_question
revise_table,88,duplicate_question
revise_table,111,duplicate_question
revise_table,114,duplicate_question
revise_table,112,duplicate_question
revise_table,113,duplicate_question
revise_table,115,duplicate_question
revise_table,116,duplicate_question
revise_table,96,duplicate_question
revise_table,117,duplicate_question
revise_table,121,duplicate_question
revise_table,119,duplicate_question
revise_table,120,duplicate_question
revise_table,98,duplicate_question
revise_table,122,duplicate_question
revise_table,124,duplicate_question
revise_table,125,duplicate_question
revise_table,126,duplicate_question
revise_table,128,duplicate_question
revise_table,127,duplicate_question
add_table,2,duplicate_question
revise_table,131,duplicate_question
revise_table,129,duplicate_question
revise_table,130,duplicate_question
revise_table,132,duplicate_question
revise_table,133,duplicate_question
revise_table,108,duplicate_question
revise_table,99,duplicate_question
revise_table,136,duplicate_question
revise_table,137,duplicate_question
revise_table,138,duplicate_question
revise_table,109,duplicate_question
revise_table,139,duplicate_question
revise_table,141,duplicate_question
revise_table,140,duplicate_question
revise_table,110,duplicate_question
revise_table,144,duplicate_question
revise_table,146,duplicate_question
revise_table,147,duplicate_question
revise_table,148,duplicate_question
revise_table,151,duplicate_question
revise_table,134,duplicate_question
revise_table,149,duplicate_question
revise_table,135,duplicate_question
revise_table,150,duplicate_question
revise_table,123,duplicate_question
revise_table,118,duplicate_question
revise_table,156,duplicate_question
revise_table,157,duplicate_question
revise_table,159,duplicate_question
revise_table,160,duplicate_question
revise_table,158,duplicate_question
revise_table,143,duplicate_question
revise_table,142,duplicate_question
revise_table,145,duplicate_question
revise_table,152,duplicate_question
revise_table,153,duplicate_question
revise_table,155,duplicate_question
revise_table,154,duplicate_question
map_table,81,duplicate_question
map_table,82,duplicate_question
map_table,85,duplicate_question
map_table,84,duplicate_question
map_table,86,duplicate_question
map_table,83,duplicate_question
map_table,88,duplicate_question
map_table,87,duplicate_question
map_table,89,duplicate_question
map_table,90,duplicate_question
map_table,91,duplicate_question
map_table,95,duplicate_question
map_table,94,duplicate_question
map_table,92,duplicate_question
map_table,101,duplicate_question
map_table,102,duplicate_question
map_table,103,duplicate_question
map_table,104,duplicate_question
map_table,100,duplicate_question
map_table,106,duplicate_question
map_table,99,duplicate_question
map_table,105,duplicate_question
map_table,107,duplicate_question
map_table,109,duplicate_question
map_table,111,duplicate_question
map_table,110,duplicate_question
map_table,93,duplicate_question
map_table,98,duplicate_question
add_table,1,duplicate_question
map_table,112,duplicate_question
map_table,108,duplicate_question
map_table,113,duplicate_question
map_table,117,duplicate_question
map_table,116,duplicate_question
map_table,121,duplicate_question
map_table,115,duplicate_question
map_table,123,duplicate_question
map_table,122,duplicate_question
map_table,124,duplicate_question
map_table,97,duplicate_question
map_table,125,duplicate_question
map_table,96,duplicate_question
map_table,126,duplicate_question
map_table,118,duplicate_question
map_table,120,duplicate_question
map_table,128,duplicate_question
map_table,127,duplicate_question
map_table,129,duplicate_question
map_table,130,duplicate_question
map_table,135,duplicate_question
map_table,133,duplicate_question
map_table,131,duplicate_question
map_table,134,duplicate_question
map_table,136,duplicate_question
map_table,137,duplicate_question
map_table,141,duplicate_question
map_table,140,duplicate_question
map_table,142,duplicate_question
map_table,146,duplicate_question
map_table,143,duplicate_question
map_table,144,duplicate_question
map_table,145,duplicate_question
map_table,119,duplicate_question
map_table,148,duplicate_question
map_table,147,duplicate_question
map_table,152,duplicate_question
map_table,149,duplicate_question
map_table,150,duplicate_question
map_table,138,duplicate_question
map_table,132,duplicate_question
map_table,139,duplicate_question
map_table,114,duplicate_question
map_table,155,duplicate_question
map_table,153,duplicate_question
map_table,158,duplicate_question
map_table,157,duplicate_question
map_table,159,duplicate_question
map_table,156,duplicate_question
map_table,151,duplicate_question
map_table,154,duplicate_question
refresh_table,16,system_prompt_error
refresh_table,11,system_prompt_error
refresh_table,13,system_prompt_error
refresh_table,14,system_prompt_error
