task_name,task_id,issue_source,issue_reason
normal_atom_bool,normal_atom_bool_5,llm,Non-canonical Parameter Values Get Error
normal_atom_bool,normal_atom_bool_16,llm,Non-canonical Parameter Values Get Error
normal_atom_bool,normal_atom_bool_19,manually,Non-canonical Parameter Values Get Error
normal_atom_bool,normal_atom_bool_27,manually,Non-canonical Parameter Values Get Error
normal_atom_bool,normal_atom_bool_31,llm,Non-canonical Parameter Values Get Error
normal_atom_bool,normal_atom_bool_43,manually,Non-canonical Parameter Values Get Error
normal_atom_bool,normal_atom_bool_46,manually,Non-canonical Parameter Values Get Error
normal_preference,normal_preference_7,llm,Non-canonical Parameter Values Get Error
normal_atom_enum,normal_atom_enum_15,llm,Non-canonical Parameter Values Get Error
normal_atom_enum,normal_atom_enum_37,llm,Non-canonical Parameter Values Get Error
normal_similar_api,normal_similar_api_29,llm,Non-canonical Parameter Values Get Error
normal_multi_turn_user_switch_9,normal_multi_turn_user_switch_9_0,llm,Non-canonical Parameter Values Get Error
normal_multi_turn_user_switch_29,normal_multi_turn_user_switch_29_0,llm,Non-canonical Parameter Values Get Error
normal_atom_number,normal_atom_number_17,llm,Non-canonical Parameter Values Get Error
normal_preference,normal_preference_8,manually,Incorrect Parameter Value
normal_preference,normal_preference_40,llm,Incorrect Parameter Value
special_error_param,special_error_param_0,manually,Incorrect Parameter Value
special_error_param,special_error_param_7,llm,Incorrect Parameter Value
special_error_param,special_error_param_10,manually,Incorrect Parameter Value
special_error_param,special_error_param_14,manually,Incorrect Parameter Value
special_error_param,special_error_param_20,manually,Incorrect Parameter Value
normal_atom_object_deep,normal_atom_object_deep_1,llm,Incorrect Parameter Value
normal_multi_turn_user_adjust_36,normal_multi_turn_user_adjust_36_0,manually,Incorrect Parameter Value
normal_multi_turn_user_adjust_47,normal_multi_turn_user_adjust_47_1,manually,Incorrect Parameter Value
normal_atom_list,normal_atom_list_34,manually,Incorrect Parameter Value
normal_multi_turn_user_switch_45,normal_multi_turn_user_switch_45_1,llm,Incorrect Parameter Value
normal_single_turn_single_function,normal_single_turn_single_function_31,llm,Incorrect Parameter Value
normal_single_turn_single_function,normal_single_turn_single_function_37,manually,Incorrect Parameter Value
normal_atom_bool,normal_atom_bool_9,llm,Non-canonical Parameter Values Get Error
normal_atom_bool,normal_atom_bool_10,manually,Non-canonical Parameter Values Get Error
normal_preference,normal_preference_4,llm,Non-canonical Parameter Values Get Error
normal_preference,normal_preference_13,manually,Non-canonical Parameter Values Get Error
normal_preference,normal_preference_34,llm,Non-canonical Parameter Values Get Error
normal_preference,normal_preference_43,llm,Non-canonical Parameter Values Get Error
normal_preference,normal_preference_46,llm,Non-canonical Parameter Values Get Error
normal_atom_object_deep,normal_atom_object_deep_0,llm,Non-canonical Parameter Values Get Error
normal_atom_object_deep,normal_atom_object_deep_4,llm,Non-canonical Parameter Values Get Error
normal_atom_object_deep,normal_atom_object_deep_13,llm,Non-canonical Parameter Values Get Error
normal_atom_object_deep,normal_atom_object_deep_14,llm,Non-canonical Parameter Values Get Error
normal_atom_object_deep,normal_atom_object_deep_16,llm,Non-canonical Parameter Values Get Error
normal_atom_object_deep,normal_atom_object_deep_22,manually,Non-canonical Parameter Values Get Error
normal_atom_object_deep,normal_atom_object_deep_23,llm,Non-canonical Parameter Values Get Error
normal_atom_object_deep,normal_atom_object_deep_24,llm,Non-canonical Parameter Values Get Error
normal_atom_object_deep,normal_atom_object_deep_30,llm,Non-canonical Parameter Values Get Error
normal_atom_object_deep,normal_atom_object_deep_35,llm,Non-canonical Parameter Values Get Error
normal_atom_object_deep,normal_atom_object_deep_43,manually,Non-canonical Parameter Values Get Error
normal_multi_turn_user_adjust_3,normal_multi_turn_user_adjust_3_0,llm,Non-canonical Parameter Values Get Error
normal_multi_turn_user_adjust_4,normal_multi_turn_user_adjust_4_0,manually,Non-canonical Parameter Values Get Error
normal_multi_turn_user_adjust_6,normal_multi_turn_user_adjust_6_0,llm,Non-canonical Parameter Values Get Error
normal_multi_turn_user_adjust_8,normal_multi_turn_user_adjust_8_1,llm,Non-canonical Parameter Values Get Error
