task_name,task_id,issue_source,issue_reason
INFERENCE_MEMORY,674552683acc22154b07a598,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
SELF_COHERENCE,674552684d7f0f0dad442da6,manually,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
INSTRUCTION_RETENTION,6745526875828b24787b636f,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,67455268bc2ba9e69b8618f8,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
RELIABLE_VERSION_EDITING,67455ecca969fda3803814da,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,67455eccbcab6aa613bebeaa,llm,Ambiguous/Conflicting Evaluation Rubric - Self-contradiction
INSTRUCTION_RETENTION,674564fc0c7ee4114a1700e4,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674564fd8a92036a0c145ca5,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674564fe2e803a593c6b1d15,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,674567318a92036a0c145cea,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674567322c2fb9897564643d,llm,Ambiguous/Conflicting Evaluation Rubric - Self-contradiction
INFERENCE_MEMORY,674567323acc22154b07d657,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674567324c14773508ab6cc3,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,6745673294ace5b84220c471,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,67456732bcab6aa613bec0d3,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
RELIABLE_VERSION_EDITING,674567336b8dea7f802b8329,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
RELIABLE_VERSION_EDITING,67456733bc2ba9e69b862cfe,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,674567d00907ad2ffaaf95cd,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
SELF_COHERENCE,674567d00c7ee4114a170148,manually,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
INSTRUCTION_RETENTION,674567d02486f71d94bb251e,manually,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
INSTRUCTION_RETENTION,674567d0862ad65a59c3efae,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,674567d0b9d767170e9698a4,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674567d0b9d767170e9698b3,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674567d0c5e1a2fba1287014,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674567d0cca970e74c84bf71,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
SELF_COHERENCE,674567d0d27cd3196284e42c,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,674567d0de781b6a4e468bda,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674567d100e55e78903f86cc,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674567d175828b24787b75cd,manually,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
INSTRUCTION_RETENTION,674567d1a77b2db232c76c6e,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674567d1eabd53215598789e,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674567d20907ad2ffaaf95fd,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674567d20c7ee4114a17017d,manually,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
INFERENCE_MEMORY,674567d22486f71d94bb2538,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674567d234449d2a595f555c,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674567d2bcab6aa613bec125,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674567d2ce39067956b7f78e,manually,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
INFERENCE_MEMORY,674567d2e4a3a4bc5def0454,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
RELIABLE_VERSION_EDITING,674567d2ff33175f5b310ea6,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674567d37d8d6ad2277bd5c3,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
SELF_COHERENCE,674568560907ad2ffaaf961a,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
SELF_COHERENCE,674568562274da0299d9b121,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,6745685634449d2a595f5592,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,674568563ccda7c0324a4dbc,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674568564e36630bb185aa05,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
SELF_COHERENCE,67456856a77b2db232c76c97,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,67456856ce39067956b7f7ab,manually,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
INSTRUCTION_RETENTION,67456856ceecce35027ef5a3,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,67456856fadca0e416e9e85e,llm,Ambiguous/Conflicting Evaluation Rubric - Self-contradiction
INSTRUCTION_RETENTION,67456856ff33175f5b310ec3,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,67456857614d788df8a87dad,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,6745685762962af2b60e558f,llm,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
INFERENCE_MEMORY,67456857d27cd3196284e495,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,67456858010e53afe14c6375,manually,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674568582274da0299d9b13a,manually,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
SELF_COHERENCE,6745621c36ef48ba06006265,llm,Ambiguous/Conflicting Evaluation Rubric - Self-contradiction
SELF_COHERENCE,674564fca3c26085cd615755,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674567312e803a593c6b1d5a,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,674567315c67d815889df2db,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INSTRUCTION_RETENTION,67456857e4a3a4bc5def0471,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,674568584e36630bb185aa1e,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,6765f1c80960c015f806a7c1,llm,Ambiguous/Conflicting Evaluation Rubric - Memory Failure
INFERENCE_MEMORY,6765f1c843f5c6a2c6f27ea6,llm,Ambiguous/Conflicting Evaluation Rubric - Instruction Issues
