task_name,task_id,issue_source
TMIHallucination,TMIHallucination_0,llm
TMIHallucination,TMIHallucination_2,manually
TMIHallucination,TMIHallucination_6,llm
TMIHallucination,TMIHallucination_10,llm
TMIHallucination,TMIHallucination_14,manually
TMIHallucination,TMIHallucination_16,llm
TMIHallucination,TMIHallucination_17,llm
TMIHallucination,TMIHallucination_22,llm
TMIHallucination,TMIHallucination_27,llm
TMIHallucination,TMIHallucination_41,llm
TMIHallucination,TMIHallucination_44,llm
TMIHallucination,TMIHallucination_51,llm
TMIHallucination,TMIHallucination_53,llm
NVDLibraryBenchmark,NVDLibraryBenchmark_10,llm
NVDLibraryBenchmark,NVDLibraryBenchmark_14,llm
NVDLibraryBenchmark,NVDLibraryBenchmark_1,llm
NVDLibraryBenchmark,NVDLibraryBenchmark_4,llm
ABC,ABC_59,llm
ABC,ABC_58,llm
ABC,ABC_54,manually
ABC,ABC_64,llm
ABC,ABC_86,llm
LangChainRelational,LangChainRelational_2,llm
TicketTracking,TicketTracking_15,manually
TicketTracking,TicketTracking_11,manually
TicketTracking,TicketTracking_16,manually
TicketTracking,TicketTracking_14,manually
TicketTracking,TicketTracking_39,llm
TicketTracking,TicketTracking_36,llm
TicketTracking,TicketTracking_57,llm
TicketTracking,TicketTracking_52,llm
TicketTracking,TicketTracking_51,llm
TicketTracking,TicketTracking_46,llm
TicketTracking,TicketTracking_70,manually
TMIHallucination,TMIHallucination_1,llm
TMIHallucination,TMIHallucination_3,llm
TMIHallucination,TMIHallucination_5,llm
TMIHallucination,TMIHallucination_7,llm
TMIHallucination,TMIHallucination_8,llm
TMIHallucination,TMIHallucination_9,llm
TMIHallucination,TMIHallucination_12,llm
TMIHallucination,TMIHallucination_13,llm
TMIHallucination,TMIHallucination_18,llm
TMIHallucination,TMIHallucination_20,llm
TMIHallucination,TMIHallucination_21,llm
TMIHallucination,TMIHallucination_24,llm
TMIHallucination,TMIHallucination_25,llm
TMIHallucination,TMIHallucination_26,llm
TMIHallucination,TMIHallucination_28,llm
TMIHallucination,TMIHallucination_29,llm
TMIHallucination,TMIHallucination_30,llm
TMIHallucination,TMIHallucination_31,llm
TMIHallucination,TMIHallucination_32,llm
TMIHallucination,TMIHallucination_33,llm
TMIHallucination,TMIHallucination_36,llm
TMIHallucination,TMIHallucination_37,llm
TMIHallucination,TMIHallucination_38,llm
TMIHallucination,TMIHallucination_39,llm
TMIHallucination,TMIHallucination_45,llm
TMIHallucination,TMIHallucination_47,llm
TMIHallucination,TMIHallucination_48,llm
TMIHallucination,TMIHallucination_49,llm
TMIHallucination,TMIHallucination_50,llm
TMIHallucination,TMIHallucination_52,llm
TMIHallucination,TMIHallucination_54,llm
NVDLibraryBenchmark,NVDLibraryBenchmark_75,llm
NVDLibraryBenchmark,NVDLibraryBenchmark_26,llm
CVECPEBenchmark,CVECPEBenchmark_14,llm
CVECPEBenchmark,CVECPEBenchmark_33,llm
CVECPEBenchmark,CVECPEBenchmark_28,llm
MultiverseMathHard,MultiverseMathHard_4,manually
MultiverseMathHard,MultiverseMathHard_14,manually
MultiverseMathHard,MultiverseMathHard_24,llm
MultiverseMathHard,MultiverseMathHard_75,manually
MultiverseMathHard,MultiverseMathHard_42,manually
MultiverseMathHard,MultiverseMathHard_26,manually
MultiverseMathHard,MultiverseMathHard_45,llm
MultiverseMathHard,MultiverseMathHard_49,manually
MultiverseMathHard,MultiverseMathHard_31,manually
MultiverseMathHard,MultiverseMathHard_68,manually
MultiverseMathHard,MultiverseMathHard_23,manually
MultiverseMathHard,MultiverseMathHard_87,llm
MultiverseMathHard,MultiverseMathHard_63,manually
MultiverseMathHard,MultiverseMathHard_61,llm
MultiverseMathHard,MultiverseMathHard_60,manually
MultiverseMathHard,MultiverseMathHard_90,manually
MultiverseMathHard,MultiverseMathHard_85,manually
MultiverseMathHard,MultiverseMathHard_62,llm
MultiverseMathHard,MultiverseMathHard_83,manually
MultiverseMathHard,MultiverseMathHard_80,manually
MultiverseMathHard,MultiverseMathHard_94,manually
MultiverseMathHard,MultiverseMathHard_78,manually
MultiverseMathHard,MultiverseMathHard_95,manually
MultiverseMathHard,MultiverseMathHard_93,manually
VirusTotalAgentic,VirusTotalAgentic_32,llm
VirusTotalAgentic,VirusTotalAgentic_23,llm
VirusTotalAgentic,VirusTotalAgentic_41,llm
VirusTotalAgentic,VirusTotalAgentic_30,llm
VirusTotalAgentic,VirusTotalAgentic_27,llm
VirusTotalAgentic,VirusTotalAgentic_43,llm
VirusTotalAgentic,VirusTotalAgentic_16,llm
ClimateBenchmark,ClimateBenchmark_31,llm
ClimateBenchmark,ClimateBenchmark_25,llm
ClimateBenchmark,ClimateBenchmark_63,llm
ClimateBenchmark,ClimateBenchmark_16,manually
ClimateBenchmark,ClimateBenchmark_20,manually
ClimateBenchmark,ClimateBenchmark_14,manually
ClimateBenchmark,ClimateBenchmark_67,manually
ClimateBenchmark,ClimateBenchmark_72,manually
ClimateBenchmark,ClimateBenchmark_87,manually
ClimateBenchmark,ClimateBenchmark_86,manually
ClimateBenchmark,ClimateBenchmark_111,manually
ClimateBenchmark,ClimateBenchmark_114,llm
ClimateBenchmark,ClimateBenchmark_153,manually
