task_name,task_id,issue_reason
airline,12,easy_do_nothing
airline,18,easy_do_nothing
airline,24,easy_do_nothing
airline,35,easy_do_nothing
airline,36,easy_do_nothing
airline,37,easy_do_nothing
airline,38,easy_do_nothing
airline,41,easy_do_nothing
airline,42,easy_do_nothing
airline,49,easy_do_nothing
retail,10,easy_do_nothing
retail,25,easy_do_nothing
retail,50,easy_do_nothing
retail,57,easy_do_nothing
retail,65,easy_do_nothing
airline,9,incorrect_ground_truth
airline,19,incorrect_ground_truth
airline,22,incorrect_ground_truth
airline,23,incorrect_ground_truth
airline,25,incorrect_ground_truth
airline,26,incorrect_ground_truth
airline,27,incorrect_ground_truth
airline,34,incorrect_ground_truth
airline,45,incorrect_ground_truth
retail,12,incorrect_ground_truth
retail,23,incorrect_ground_truth
retail,27,incorrect_ground_truth
retail,34,incorrect_ground_truth
retail,59,incorrect_ground_truth
retail,105,incorrect_ground_truth
