task_name,task_id,is_issue,issue_type
retail,34,1,incorrect_ground_truth
airline,26,1,incorrect_ground_truth
retail,86,0,
retail,40,0,
retail,36,0,
retail,29,0,
retail,107,0,
retail,103,0,
airline,20,0,
retail,23,0,
retail,12,1,incorrect_ground_truth
airline,45,1,incorrect_ground_truth
airline,25,1,incorrect_ground_truth
airline,22,1,incorrect_ground_truth
airline,19,1,incorrect_ground_truth
retail,17,0,
retail,104,1,incorrect_ground_truth (use modify_pending_order_items more than once)
retail,102,1,incorrect_ground_truth (use modify_pending_order_items more than once)
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
