task_name, task_id, is_issue, issue_type
multi_turn_miss_param, 175, 1, Incompatible Parameters
multi_turn_miss_param, 35, 1, Context Mismatch
multi_turn_miss_func, 151, 1, Context Mismatch
multi_turn_miss_param, 72, 1, Missing Functionality
multi_turn_miss_param, 42, 1, Missing Functionality
multi_turn_miss_param, 29, 0, Not Flawed
multi_turn_long_context, 9, 1, Missing Functionality
multi_turn_long_context, 29, 1, Incompatible Parameters
multi_turn_long_context, 31, 1, Domain Mismatch
multi_turn_long_context, 41, 1, Incompatible Parameters
multi_turn_long_context, 67, 1, Context Mismatch
multi_turn_long_context, 121, 1, Context Mismatch
multi_turn_long_context, 132, 1, Incompatible Parameters
multi_turn_long_context, 134, 1, Domain Mismatch
multi_turn_long_context, 145, 1, Incompatible Parameters
multi_turn_long_context, 154, 1, Missing Functionality
multi_turn_long_context, 178, 1, Missing Functionality
multi_turn_long_context, 180, 1, Missing Functionality
multi_turn_base, 9, 1, Missing Functionality
multi_turn_base, 17, 1, Missing Functionality
multi_turn_base, 29, 1, Incompatible Parameters
multi_turn_base, 33, 1, Missing Functionality
multi_turn_base, 72, 1, Missing Functionality
multi_turn_base, 114, 1, Missing Functionality
multi_turn_base, 121, 1, Context Mismatch
multi_turn_base, 132, 1, Incompatible Parameters
multi_turn_base, 145, 1, Incompatible Parameters
multi_turn_base, 154, 1, Missing Functionality
multi_turn_base, 160, 1, Missing Functionality
multi_turn_func, 0, 1, Missing Functionality
multi_turn_func, 17, 1, Missing Functionality
multi_turn_func, 41, 1, Missing Functionality
multi_turn_func, 42, 1, Missing Functionality
multi_turn_func, 51, 1, Missing Functionality
multi_turn_func, 62, 1, Incompatible Parameters
multi_turn_func, 97, 1, Domain Mismatch
multi_turn_func, 111, 1, Missing Functionality
multi_turn_param, 17, 1, Missing Functionality
multi_turn_param, 35, 1, Missing Functionality
multi_turn_param, 62, 1, Missing Functionality
multi_turn_param, 111, 1, Missing Functionality
multi_turn_long_context, 8, 0, Not Flawed
multi_turn_long_context, 11, 0, Not Flawed
multi_turn_long_context, 14, 0, Not Flawed
multi_turn_long_context, 12, 0, Not Flawed
multi_turn_long_context, 16, 0, Not Flawed
multi_turn_long_context, 17, 0, Not Flawed
multi_turn_long_context, 38, 0, Not Flawed
multi_turn_long_context, 40, 0, Not Flawed
multi_turn_long_context, 44, 0, Not Flawed
multi_turn_long_context, 45, 0, Not Flawed
multi_turn_long_context, 60, 0, Not Flawed
multi_turn_long_context, 66, 0, Not Flawed
multi_turn_long_context, 120, 0, Not Flawed
multi_turn_long_context, 189, 0, Not Flawed
multi_turn_base, 6, 0, Not Flawed
multi_turn_base, 7, 0, Not Flawed
multi_turn_base, 12, 0, Not Flawed
multi_turn_base, 16, 0, Not Flawed
multi_turn_base, 21, 0, Not Flawed
multi_turn_base, 18, 0, Not Flawed
multi_turn_base, 32, 0, Not Flawed
multi_turn_base, 36, 0, Not Flawed
multi_turn_base, 37, 0, Not Flawed
multi_turn_base, 48, 0, Not Flawed
multi_turn_base, 49, 0, Not Flawed
multi_turn_base, 60, 0, Not Flawed
multi_turn_base, 117, 0, Not Flawed
multi_turn_base, 176, 0, Not Flawed
multi_turn_base, 162, 0, Not Flawed
multi_turn_miss_func, 129, 0, Not Flawed
multi_turn_miss_func, 119, 0, Not Flawed
multi_turn_miss_func, 144, 0, Not Flawed
multi_turn_miss_func, 92, 0, Not Flawed
multi_turn_miss_func, 61, 0, Not Flawed
multi_turn_miss_param, 33, 0, Not Flawed
multi_turn_miss_param, 48, 0, Not Flawed
multi_turn_miss_param, 57, 0, Not Flawed
multi_turn_miss_param, 65, 0, Not Flawed
multi_turn_miss_param, 92, 0, Not Flawed
