Benchmark,Accuracy,Max Turns Hit,Invalid Plan,Time (s),Total Samples,Successful Samples,Error Samples,Success Rate
NVDLibraryBenchmark,0.5513,0.0000,0.0000,136.67,78,78,0,1.0000
VirusTotalBenchmark,0.6755,0.0000,0.0000,161.90,151,151,0,1.0000
ITType0Benchmark,0.5045,0.0000,0.0000,175.25,111,111,0,1.0000
ITType1Benchmark,0.5120,0.0000,0.0000,220.72,125,125,0,1.0000
TicketTracking,0.4176,0.0000,0.0000,102.77,91,91,0,1.0000
LangChainMath,0.3500,0.0000,0.0000,97.33,20,20,0,1.0000
LangChainRelational,0.7500,0.0000,0.0000,105.17,20,20,0,1.0000
MultiverseMathHard,0.0100,0.0000,0.0000,331.77,100,100,0,1.0000
LangChainMultitoolTypeWriterHard,0.0000,0.0000,0.0000,225.66,30,30,0,1.0000
LangChainTypeWriterHard,0.0000,0.0000,0.0000,377.32,30,30,0,1.0000
ClimateBenchmark,0.4721,0.0000,0.0102,879.71,197,197,0,1.0000
TMIHallucination,0.7541,0.0000,0.0000,127.12,61,61,0,1.0000
CVECPEBenchmark,0.4643,0.0000,0.0179,204.17,56,56,0,1.0000
VirusTotalAgentic,0.0926,0.0000,0.0370,139.31,54,54,0,1.0000
