Benchmark,Accuracy,Max Turns Hit,Invalid Plan,Time (s),Total Samples,Successful Samples,Error Samples,Success Rate
NVDLibraryBenchmark,0.8205,0.0000,0.0000,56.83,78,78,0,1.0000
VirusTotalBenchmark,0.8212,0.0000,0.0000,198.89,151,151,0,1.0000
ITType0Benchmark,0.2252,0.0000,0.0000,68.40,111,111,0,1.0000
ITType1Benchmark,0.6320,0.0000,0.0000,64.07,125,125,0,1.0000
TicketTracking,0.4725,0.0000,0.0000,46.34,91,91,0,1.0000
LangChainMath,0.8000,0.0000,0.0500,105.12,20,20,0,1.0000
LangChainRelational,0.8000,0.0000,0.2000,39.80,20,20,0,1.0000
MultiverseMathHard,0.1400,0.0300,0.8000,253.45,100,100,0,1.0000
LangChainMultitoolTypeWriterHard,0.0000,0.0000,1.0000,89.62,30,30,0,1.0000
LangChainTypeWriterHard,0.0000,0.0000,1.0000,28.04,30,30,0,1.0000
ClimateBenchmark,0.3807,0.0000,0.3553,372.57,197,197,0,1.0000
TMIHallucination,0.9672,0.0000,0.0000,43.84,61,61,0,1.0000
CVECPEBenchmark,0.5357,0.0000,0.0893,199.63,56,56,0,1.0000
VirusTotalAgentic,0.4444,0.0000,0.3704,69.58,54,54,0,1.0000
