Note that User Simulator few shot messages have been omitted
shape: (34, 8)
+------------------+------------------+------------------+------------------+------------------+-----------------+------------+-----------------+
| sandbox_message_ | sender           | recipient        | content          | openai_function_ | tool_call_excep | tool_trace | visible_to      |
| index            | ---              | ---              | ---              | name             | tion            | ---        | ---             |
| ---              | enum             | enum             | str              | ---              | ---             | list[str]  | list[enum]      |
| i32              |                  |                  |                  | str              | str             |            |                 |
+===============================================================================================================================================+
| 0                | SYSTEM           | EXECUTION_ENVIRO | import json      | null             | null            | null       | null            |
|                  |                  | NMENT            | from tool_sandbo |                  |                 |            |                 |
|                  |                  |                  | x.tools.contact  |                  |                 |            |                 |
|                  |                  |                  | import           |                  |                 |            |                 |
|                  |                  |                  | add_contact,     |                  |                 |            |                 |
|                  |                  |                  | modify_contact,  |                  |                 |            |                 |
|                  |                  |                  | remove_contact,  |                  |                 |            |                 |
|                  |                  |                  | search_contacts  |                  |                 |            |                 |
|                  |                  |                  | from tool_sandbo |                  |                 |            |                 |
|                  |                  |                  | x.tools.setting  |                  |                 |            |                 |
|                  |                  |                  | import get_cellu |                  |                 |            |                 |
|                  |                  |                  | lar_service_stat |                  |                 |            |                 |
|                  |                  |                  | us, get_current_ |                  |                 |            |                 |
|                  |                  |                  | location, get_lo |                  |                 |            |                 |
|                  |                  |                  | cation_service_s |                  |                 |            |                 |
|                  |                  |                  | tatus,           |                  |                 |            |                 |
|                  |                  |                  | get_wifi_status, |                  |                 |            |                 |
|                  |                  |                  | get_low_battery_ |                  |                 |            |                 |
|                  |                  |                  | mode_status, set |                  |                 |            |                 |
|                  |                  |                  | _cellular_servic |                  |                 |            |                 |
|                  |                  |                  | e_status, set_lo |                  |                 |            |                 |
|                  |                  |                  | cation_service_s |                  |                 |            |                 |
|                  |                  |                  | tatus, set_low_b |                  |                 |            |                 |
|                  |                  |                  | attery_mode_stat |                  |                 |            |                 |
|                  |                  |                  | us,              |                  |                 |            |                 |
|                  |                  |                  | set_wifi_status  |                  |                 |            |                 |
|                  |                  |                  | from tool_sandbo |                  |                 |            |                 |
|                  |                  |                  | x.tools.messagin |                  |                 |            |                 |
|                  |                  |                  | g import         |                  |                 |            |                 |
|                  |                  |                  | search_messages, |                  |                 |            |                 |
|                  |                  |                  | send_message_wit |                  |                 |            |                 |
|                  |                  |                  | h_phone_number   |                  |                 |            |                 |
|                  |                  |                  | from tool_sandbo |                  |                 |            |                 |
|                  |                  |                  | x.tools.rapid_ap |                  |                 |            |                 |
|                  |                  |                  | i_search_tools   |                  |                 |            |                 |
|                  |                  |                  | import convert_c |                  |                 |            |                 |
|                  |                  |                  | urrency,         |                  |                 |            |                 |
|                  |                  |                  | search_lat_lon,  |                  |                 |            |                 |
|                  |                  |                  | search_location_ |                  |                 |            |                 |
|                  |                  |                  | around_lat_lon,  |                  |                 |            |                 |
|                  |                  |                  | search_stock,    |                  |                 |            |                 |
|                  |                  |                  | search_weather_a |                  |                 |            |                 |
|                  |                  |                  | round_lat_lon    |                  |                 |            |                 |
|                  |                  |                  | from tool_sandbo |                  |                 |            |                 |
|                  |                  |                  | x.tools.reminder |                  |                 |            |                 |
|                  |                  |                  | import           |                  |                 |            |                 |
|                  |                  |                  | add_reminder,    |                  |                 |            |                 |
|                  |                  |                  | modify_reminder, |                  |                 |            |                 |
|                  |                  |                  | remove_reminder, |                  |                 |            |                 |
|                  |                  |                  | search_reminder  |                  |                 |            |                 |
|                  |                  |                  | from tool_sandbo |                  |                 |            |                 |
|                  |                  |                  | x.tools.user_too |                  |                 |            |                 |
|                  |                  |                  | ls import        |                  |                 |            |                 |
|                  |                  |                  | end_conversation |                  |                 |            |                 |
|                  |                  |                  | from tool_sandbo |                  |                 |            |                 |
|                  |                  |                  | x.tools.utilitie |                  |                 |            |                 |
|                  |                  |                  | s import calcula |                  |                 |            |                 |
|                  |                  |                  | te_lat_lon_dista |                  |                 |            |                 |
|                  |                  |                  | nce, datetime_in |                  |                 |            |                 |
|                  |                  |                  | fo_to_timestamp, |                  |                 |            |                 |
|                  |                  |                  | get_current_time |                  |                 |            |                 |
|                  |                  |                  | stamp,           |                  |                 |            |                 |
|                  |                  |                  | search_holiday,  |                  |                 |            |                 |
|                  |                  |                  | seconds_to_hours |                  |                 |            |                 |
|                  |                  |                  | _minutes_seconds |                  |                 |            |                 |
|                  |                  |                  | ,                |                  |                 |            |                 |
|                  |                  |                  | shift_timestamp, |                  |                 |            |                 |
|                  |                  |                  | timestamp_diff,  |                  |                 |            |                 |
|                  |                  |                  | timestamp_to_dat |                  |                 |            |                 |
|                  |                  |                  | etime_info,      |                  |                 |            |                 |
|                  |                  |                  | unit_conversion  |                  |                 |            |                 |
|                  |                  |                  |                  |                  |                 |            |                 |
