Benchmark,Accuracy,Max Turns Hit,Invalid Plan,Time (s),Total Samples,Successful Samples,Error Samples,Success Rate
NVDLibraryBenchmark,0.8462,0.0000,0.0000,210.47,78,78,0,1.0000
VirusTotalBenchmark,0.6623,0.0000,0.0000,198.71,151,151,0,1.0000
ITType0Benchmark,0.1171,0.0000,0.0000,63.94,111,111,0,1.0000
ITType1Benchmark,0.2880,0.0000,0.0000,89.33,125,125,0,1.0000
TicketTracking,0.4176,0.0000,0.0000,144.87,91,91,0,1.0000
LangChainMath,0.8000,0.0000,0.0000,120.09,20,20,0,1.0000
LangChainRelational,0.9000,0.0000,0.0000,132.14,20,20,0,1.0000
MultiverseMathHard,0.1900,0.0500,0.0600,790.09,100,100,0,1.0000
LangChainMultitoolTypeWriterHard,0.1000,0.0333,0.0000,228.35,30,30,0,1.0000
LangChainTypeWriterHard,0.3333,0.0333,0.0000,283.91,30,30,0,1.0000
ClimateBenchmark,0.4416,0.0102,0.0102,614.60,197,197,0,1.0000
TMIHallucination,0.8361,0.0000,0.0000,136.47,61,61,0,1.0000
CVECPEBenchmark,0.6250,0.0000,0.0179,205.44,56,56,0,1.0000
VirusTotalAgentic,0.3519,0.0000,0.0185,83.67,54,54,0,1.0000
