test_category,weakest_top_tier_model,weakest_top_tier_score,strongest_lower_tier_model,strongest_lower_tier_score,inversion_delta
live_relevance,openai_gpt-4o-20240806,0.444,_eic_data_binfei_gpu6_.cache_huggingface_hub_models--Qwen--Qwen3-8B_snapshots_b968826d9c46dd6066d109eabc6255188de91218_,0.944,0.500
multi_turn_base,anthropic_claude-4-sonnet-thinking-off,0.020,togetherai_Qwen_Qwen3-235B-A22B-Instruct-2507-FP8,0.495,0.475
multi_turn_long_context,anthropic_claude-4-sonnet-thinking-off,0.015,togetherai_Qwen_Qwen3-235B-A22B-Instruct-2507-FP8,0.425,0.410
javascript,openai_gpt-4o-20240806,0.460,deepseek-ai_DeepSeek-V3-0324,0.780,0.320
live_parallel_multiple,anthropic_claude-4-sonnet-thinking-off,0.542,deepseek-ai_DeepSeek-R1-0528,0.792,0.250
live_parallel,openai_o4-mini-high,0.750,togetherai_Qwen_Qwen3-235B-A22B-Instruct-2507-FP8,1.000,0.250
java,openai_gpt-4o-20240806,0.480,deepseek-ai_DeepSeek-V3-0324,0.670,0.190
live_multiple,anthropic_claude-4-sonnet-thinking-off,0.688,_data_jibf_.cache_huggingface_hub_models--Qwen--Qwen3-32B_snapshots_9216db5781bf21249d130ec9da846c4624c16137_,0.817,0.129
irrelevance,openai_o3-high,0.846,togetherai_moonshotai_Kimi-K2-Instruct,0.962,0.117
live_simple,openai_gpt-4o-20240806,0.779,togetherai_Qwen_Qwen3-235B-A22B-Instruct-2507-FP8,0.891,0.112
