Benchmark,Accuracy,Max Turns Hit,Invalid Plan,Time (s),Total Samples,Successful Samples,Error Samples,Success Rate
NVDLibraryBenchmark,0.7564,0.0000,0.0000,45.78,78,78,0,1.0000
VirusTotalBenchmark,0.7086,0.0000,0.0000,77.34,151,151,0,1.0000
ITType0Benchmark,0.1622,0.0000,0.0000,127.09,111,111,0,1.0000
ITType1Benchmark,0.3280,0.0000,0.0000,83.15,125,125,0,1.0000
TicketTracking,0.4066,0.0000,0.0000,83.30,91,91,0,1.0000
LangChainMath,0.6500,0.0000,0.2000,50.99,20,20,0,1.0000
LangChainRelational,0.7000,0.0000,0.2000,50.78,20,20,0,1.0000
MultiverseMathHard,0.1200,0.0000,0.8800,117.21,100,100,0,1.0000
LangChainMultitoolTypeWriterHard,0.0000,0.0000,0.9000,34.38,30,30,0,1.0000
LangChainTypeWriterHard,0.0000,0.0000,0.9333,40.97,30,30,0,1.0000
ClimateBenchmark,0.3401,0.0051,0.4772,537.54,197,197,0,1.0000
TMIHallucination,0.9180,0.0000,0.0000,40.55,61,61,0,1.0000
CVECPEBenchmark,0.4643,0.0000,0.1071,194.66,56,56,0,1.0000
VirusTotalAgentic,0.1852,0.0000,0.4074,94.24,54,54,0,1.0000
