test_category,weakest_top_tier_model,weakest_top_tier_score,strongest_lower_tier_model,strongest_lower_tier_score,inversion_delta
live_relevance,openai_gpt-4o-20240806,0.4444444444444444,_eic_data_binfei_gpu6_.cache_huggingface_hub_models--Qwen--Qwen3-8B_snapshots_b968826d9c46dd6066d109eabc6255188de91218_,0.9444444444444444,0.5
multi_turn_base,anthropic_claude-4-sonnet-thinking-off,0.02,_data_jibf_.cache_huggingface_hub_models--Qwen--Qwen3-32B_snapshots_9216db5781bf21249d130ec9da846c4624c16137_,0.49,0.47
multi_turn_miss_func,anthropic_claude-4-sonnet-thinking-off,0.005,_data_jibf_.cache_huggingface_hub_models--Qwen--Qwen3-32B_snapshots_9216db5781bf21249d130ec9da846c4624c16137_,0.425,0.42
parallel,anthropic_claude-4-sonnet-thinking-off,0.55,_eic_data_binfei_gpu6_.cache_huggingface_hub_models--Qwen--Qwen3-8B_snapshots_b968826d9c46dd6066d109eabc6255188de91218_,0.94,0.3899999999999999
multi_turn_long_context,anthropic_claude-4-sonnet-thinking-off,0.015,_data_jibf_.cache_huggingface_hub_models--Qwen--Qwen3-32B_snapshots_9216db5781bf21249d130ec9da846c4624c16137_,0.37,0.355
javascript,openai_gpt-4o-20240806,0.46,_eic_data_binfei_gpu6_.cache_huggingface_hub_models--Qwen--Qwen3-8B_snapshots_b968826d9c46dd6066d109eabc6255188de91218_,0.74,0.27999999999999997
multi_turn_miss_param,anthropic_claude-4-sonnet-thinking-off,0.025,_data_jibf_.cache_huggingface_hub_models--Qwen--Qwen3-32B_snapshots_9216db5781bf21249d130ec9da846c4624c16137_,0.305,0.27999999999999997
parallel_multiple,anthropic_claude-4-sonnet-thinking-off,0.665,_data_jibf_.cache_huggingface_hub_models--Qwen--Qwen3-32B_snapshots_9216db5781bf21249d130ec9da846c4624c16137_,0.92,0.255
live_parallel_multiple,anthropic_claude-4-sonnet-thinking-off,0.5416666666666666,_eic_data_binfei_gpu6_.cache_huggingface_hub_models--Qwen--Qwen3-8B_snapshots_b968826d9c46dd6066d109eabc6255188de91218_,0.7916666666666666,0.25
java,openai_gpt-4o-20240806,0.48,_data_jibf_.cache_huggingface_hub_models--Qwen--Qwen3-32B_snapshots_9216db5781bf21249d130ec9da846c4624c16137_,0.65,0.17000000000000004
live_multiple,anthropic_claude-4-sonnet-thinking-off,0.6875593542260209,_data_jibf_.cache_huggingface_hub_models--Qwen--Qwen3-32B_snapshots_9216db5781bf21249d130ec9da846c4624c16137_,0.8167141500474834,0.1291547958214625
live_parallel,openai_o4-mini-high,0.75,_data_jibf_.cache_huggingface_hub_models--Qwen--Qwen3-32B_snapshots_9216db5781bf21249d130ec9da846c4624c16137_,0.875,0.125
live_simple,openai_gpt-4o-20240806,0.7790697674418605,_data_jibf_.cache_huggingface_hub_models--Qwen--Qwen3-32B_snapshots_9216db5781bf21249d130ec9da846c4624c16137_,0.8798449612403101,0.10077519379844957
