task_name,anthropic/claude-4-sonnet-thinking-off,anthropic/claude-4-sonnet-thinking-on-10k,deepseek-ai/DeepSeek-R1-0528,deepseek-ai/DeepSeek-V3-0324,openai/gpt-4.1,openai/gpt-4o-20240806,openai/gpt-4o-mini,openai/o3-high,openai/o4-mini-high,togetherai/Qwen/Qwen3-235B-A22B-FP8,togetherai/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,togetherai/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8,togetherai/moonshotai/Kimi-K2-Instruct
add_contact_with_name_and_phone_number,0.8325143209680483,0.8293168709328809,0.4199736760350359,0.26348694992103,0.8624601218166525,0.9496443133172543,0.9252903702412298,0.9367902340968035,0.9054801351215481,0.7444010673791235,0.8596282809840528,0.7062362575600312,0.8844404756493358
add_contact_with_name_and_phone_number_10_distraction_tools,0.8325143209680483,0.8325143209680483,0.30426863850105684,0.23818957059275397,0.8815714096235379,0.4149132662808576,0.9010723768369135,1.0,0.9367902340968035,0.7269923716366715,0.8889111136575754,0.6669246462815513,0.9054801351215481
add_contact_with_name_and_phone_number_3_distraction_tools,0.8325143209680483,0.8262389558830283,0.36840314640520855,0.2271400568332134,0.8815714096235379,0.956671137514194,0.9010723768369135,1.0,0.8781023829191136,0.727884289982028,0.8684031464052085,0.7376555034994507,0.8358396873740521
add_contact_with_name_and_phone_number_3_distraction_tools_arg_description_scrambled,0.8325143209680483,0.8095484674612501,0.24999997965562232,0.2374785400436067,0.8624601218166525,0.956671137514194,0.9252903702412298,0.9899973050309359,0.8968502548553894,0.7154434476990268,0.8715253533720203,0.7143768847599186,0.8293168709328809
add_contact_with_name_and_phone_number_3_distraction_tools_arg_type_scrambled,0.8325143209680483,0.8293168709328809,0.4100882449365974,0.24037490610287454,0.8596282809840528,0.8904483257578941,0.9010723768369135,1.0,0.8781023829191136,0.7480768206061159,0.8889111136575754,0.7219182003025124,0.9367902340968035
add_contact_with_name_and_phone_number_3_distraction_tools_tool_description_scrambled,0.8325143209680483,0.8325143209680483,0.3262389558830283,0.23444773841593294,0.8815714096235379,0.956671137514194,0.9010723768369135,0.9807498572977511,0.9308869304625594,0.7387284615661132,0.9100882449365975,0.706842830730733,0.9641588839091166
add_contact_with_name_and_phone_number_3_distraction_tools_tool_name_scrambled,0.8325143209680483,0.8293168709328809,0.3516338717095077,0.0,0.8851713533656844,0.956671137514194,0.9199736760350359,0.9899973050309359,0.8781023829191136,0.748711302448689,0.8889111136575754,0.7109680895412389,0.8358396873740521
add_contact_with_name_and_phone_number_all_tools,0.8325143209680483,0.8293168709328809,0.3232729734424758,0.2924017592713677,0.8684031464052085,0.956671137514194,0.9054801351215481,0.9641588839091166,1.0,0.7403749061028746,0.9010723768369135,0.7087063794214755,0.8844404756493358
add_reminder_content_and_date_and_time,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0
add_reminder_content_and_date_and_time_10_distraction_tools,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
add_reminder_content_and_date_and_time_3_distraction_tools,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
add_reminder_content_and_date_and_time_3_distraction_tools_arg_description_scrambled,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
add_reminder_content_and_date_and_time_3_distraction_tools_arg_type_scrambled,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0
add_reminder_content_and_date_and_time_3_distraction_tools_tool_description_scrambled,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
add_reminder_content_and_date_and_time_3_distraction_tools_tool_name_scrambled,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
add_reminder_content_and_date_and_time_all_tools,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
add_reminder_content_and_date_and_time_alt,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
add_reminder_content_and_date_and_time_alt_10_distraction_tools,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
add_reminder_content_and_date_and_time_alt_3_distraction_tools,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
add_reminder_content_and_date_and_time_alt_3_distraction_tools_arg_description_scrambled,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
add_reminder_content_and_date_and_time_alt_3_distraction_tools_arg_type_scrambled,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
add_reminder_content_and_date_and_time_alt_3_distraction_tools_tool_description_scrambled,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
add_reminder_content_and_date_and_time_alt_3_distraction_tools_tool_name_scrambled,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
add_reminder_content_and_date_and_time_alt_all_tools,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
add_reminder_content_and_date_and_time_multiple_user_turn,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
add_reminder_content_and_date_and_time_multiple_user_turn_10_distraction_tools,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
add_reminder_content_and_date_and_time_multiple_user_turn_3_distraction_tools,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
add_reminder_content_and_date_and_time_multiple_user_turn_3_distraction_tools_arg_description_scrambled,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
add_reminder_content_and_date_and_time_multiple_user_turn_3_distraction_tools_arg_type_scrambled,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
add_reminder_content_and_date_and_time_multiple_user_turn_3_distraction_tools_tool_description_scrambled,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
add_reminder_content_and_date_and_time_multiple_user_turn_3_distraction_tools_tool_name_scrambled,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
add_reminder_content_and_date_and_time_multiple_user_turn_all_tools,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
add_reminder_content_and_date_and_time_multiple_user_turn_alt,0.9629100499139881,0.9629100499139881,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.9629100499139881,0.5,1.0,1.0
add_reminder_content_and_date_and_time_multiple_user_turn_alt_10_distraction_tools,1.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.9629100499139881,0.9629100499139881,1.0,1.0,0.9629100499139881
add_reminder_content_and_date_and_time_multiple_user_turn_alt_3_distraction_tools,1.0,0.9629100499139881,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
add_reminder_content_and_date_and_time_multiple_user_turn_alt_3_distraction_tools_arg_description_scrambled,0.9629100499139881,0.9629100499139881,0.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,1.0
add_reminder_content_and_date_and_time_multiple_user_turn_alt_3_distraction_tools_arg_type_scrambled,1.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.9629100499139881
add_reminder_content_and_date_and_time_multiple_user_turn_alt_3_distraction_tools_tool_description_scrambled,0.9629100499139881,1.0,0.0,0.0,1.0,1.0,1.0,0.9629100499139881,1.0,1.0,0.9629100499139881,1.0,1.0
add_reminder_content_and_date_and_time_multiple_user_turn_alt_3_distraction_tools_tool_name_scrambled,1.0,1.0,0.0,0.0,0.9629100499139881,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
add_reminder_content_and_date_and_time_multiple_user_turn_alt_all_tools,0.9629100499139881,1.0,0.0,0.0,1.0,0.9629100499139881,1.0,1.0,1.0,1.0,1.0,0.9082482928874064,1.0
add_reminder_content_and_week_delta_and_time,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
add_reminder_content_and_week_delta_and_time_10_distraction_tools,1.0,0.5,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,0.0,0.5
add_reminder_content_and_week_delta_and_time_3_distraction_tools,1.0,0.5,0.0,0.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.0,0.0
add_reminder_content_and_week_delta_and_time_3_distraction_tools_arg_description_scrambled,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,0.5,0.0,0.5
add_reminder_content_and_week_delta_and_time_3_distraction_tools_arg_type_scrambled,1.0,0.5,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.0,1.0
add_reminder_content_and_week_delta_and_time_3_distraction_tools_tool_description_scrambled,1.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,0.0,1.0
add_reminder_content_and_week_delta_and_time_3_distraction_tools_tool_name_scrambled,1.0,0.5,0.0,0.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0
add_reminder_content_and_week_delta_and_time_all_tools,1.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.0,0.5
add_reminder_content_and_week_delta_and_time_alt,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
add_reminder_content_and_week_delta_and_time_alt_10_distraction_tools,1.0,0.5,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,0.0,1.0
add_reminder_content_and_week_delta_and_time_alt_3_distraction_tools,1.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.0,1.0
add_reminder_content_and_week_delta_and_time_alt_3_distraction_tools_arg_description_scrambled,1.0,0.5,0.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0
add_reminder_content_and_week_delta_and_time_alt_3_distraction_tools_arg_type_scrambled,1.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.9629100499139881
add_reminder_content_and_week_delta_and_time_alt_3_distraction_tools_tool_description_scrambled,1.0,0.5,0.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5
add_reminder_content_and_week_delta_and_time_alt_3_distraction_tools_tool_name_scrambled,1.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5
add_reminder_content_and_week_delta_and_time_alt_all_tools,1.0,0.5,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.0,
add_reminder_content_and_week_delta_and_time_and_location,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.9469654674409925,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
add_reminder_content_and_week_delta_and_time_and_location_10_distraction_tools,0.9469654674409925,0.6666666666666666,0.0,0.0,0.3333333333333333,0.9469654674409925,0.3333333333333333,0.9363689007222336,0.9235904558882257,0.0,0.3333333333333333,1.0,0.3333333333333333
add_reminder_content_and_week_delta_and_time_and_location_3_distraction_tools,0.9469654674409925,0.6666666666666666,0.0,0.0,0.6666666666666666,0.9469654674409925,0.3333333333333333,0.9469654674409925,1.0,0.6666666666666666,0.3333333333333333,,0.6666666666666666
add_reminder_content_and_week_delta_and_time_and_location_3_distraction_tools_arg_description_scrambled,0.9469654674409925,1.0,0.0,0.0,0.6666666666666666,0.9469654674409925,0.3333333333333333,1.0,1.0,0.0,0.3333333333333333,0.0,0.6666666666666666
add_reminder_content_and_week_delta_and_time_and_location_3_distraction_tools_arg_type_scrambled,0.9469654674409925,0.6666666666666666,0.0,0.0,0.3333333333333333,0.9469654674409925,0.3333333333333333,0.9678673354306455,1.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333
add_reminder_content_and_week_delta_and_time_and_location_3_distraction_tools_tool_description_scrambled,0.9469654674409925,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666
add_reminder_content_and_week_delta_and_time_and_location_3_distraction_tools_tool_name_scrambled,0.9469654674409925,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
add_reminder_content_and_week_delta_and_time_and_location_all_tools,0.9469654674409925,0.6666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.9469654674409925,0.0,0.6666666666666666,0.0,
add_reminder_content_and_week_delta_and_time_and_location_alt,0.9678673354306455,0.6666666666666666,0.0,0.0,0.6666666666666666,0.9469654674409925,0.3333333333333333,1.0,0.9235904558882257,0.0,0.3333333333333333,1.0,0.6666666666666666
add_reminder_content_and_week_delta_and_time_and_location_alt_10_distraction_tools,0.9469654674409925,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.9414122450276103,1.0,0.3333333333333333,0.6666666666666666,1.0,0.9469654674409925
add_reminder_content_and_week_delta_and_time_and_location_alt_3_distraction_tools,0.9469654674409925,0.6666666666666666,0.0,0.0,0.3333333333333333,0.9469654674409925,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333
add_reminder_content_and_week_delta_and_time_and_location_alt_3_distraction_tools_arg_description_scrambled,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.9469654674409925
add_reminder_content_and_week_delta_and_time_and_location_alt_3_distraction_tools_arg_type_scrambled,0.9469654674409925,0.6666666666666666,0.0,0.0,0.3333333333333333,0.9275140937127512,0.3333333333333333,0.6666666666666666,1.0,0.0,0.3333333333333333,1.0,0.3333333333333333
add_reminder_content_and_week_delta_and_time_and_location_alt_3_distraction_tools_tool_description_scrambled,1.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.0,0.3333333333333333,0.3333333333333333,0.9469654674409925
add_reminder_content_and_week_delta_and_time_and_location_alt_3_distraction_tools_tool_name_scrambled,0.9469654674409925,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.6666666666666666,0.0,0.9235904558882257
add_reminder_content_and_week_delta_and_time_and_location_alt_all_tools,0.9469654674409925,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.0,0.9469654674409925
add_reminder_content_and_week_delta_and_time_and_location_low_battery_mode_multiple_user_turn_alt,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.0
add_reminder_content_and_week_delta_and_time_and_location_low_battery_mode_multiple_user_turn_alt_10_distraction_tools,0.2,0.2,0.0,0.0,0.8,0.2,0.2,0.8,0.2,0.0,0.8,0.4,0.2
add_reminder_content_and_week_delta_and_time_and_location_low_battery_mode_multiple_user_turn_alt_3_distraction_tools,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.4,0.0,0.0
