Benchmark,Accuracy,Max Turns Hit,Invalid Plan,Time (s),Total Samples,Successful Samples,Error Samples,Success Rate
NVDLibraryBenchmark,0.7564,0.0000,0.0000,206.49,78,78,0,1.0000
VirusTotalBenchmark,0.6490,0.0000,0.0000,298.27,151,151,0,1.0000
ITType0Benchmark,0.1351,0.0000,0.0000,326.80,111,111,0,1.0000
ITType1Benchmark,0.2240,0.0000,0.0000,193.63,125,125,0,1.0000
TicketTracking,0.4505,0.0000,0.0000,245.64,91,91,0,1.0000
LangChainMath,0.8000,0.0000,0.0000,238.28,20,20,0,1.0000
LangChainRelational,0.8500,0.0000,0.0000,205.47,20,20,0,1.0000
MultiverseMathHard,0.4100,0.1000,0.0300,1029.02,100,99,1,0.9900
LangChainMultitoolTypeWriterHard,0.1000,0.0000,0.0000,301.14,30,30,0,1.0000
LangChainTypeWriterHard,0.0000,0.0000,0.0000,279.92,30,30,0,1.0000
ClimateBenchmark,0.4772,0.0660,0.0152,1424.27,197,197,0,1.0000
TMIHallucination,0.9672,0.0000,0.0000,282.02,61,61,0,1.0000
CVECPEBenchmark,0.5714,0.0179,0.0357,1160.88,56,56,0,1.0000
VirusTotalAgentic,0.3889,0.0000,0.0370,584.59,54,54,0,1.0000
