Rank,Model,Multi Turn Overall Acc,Base,Miss Func,Miss Param,Long Context
1,GPT-o3-high (Prompt),54.62%,64.00%,54.00%,47.00%,53.50%
2,GPT-4.1 (Prompt),49.50%,60.50%,47.50%,37.00%,53.00%
3,GPT-o4-mini-high (Prompt),48.75%,55.00%,52.00%,43.50%,44.50%
4,GPT-4o-2024-08-06 (Prompt),44.12%,56.00%,39.00%,33.50%,48.00%
5,Kimi-K2-Instruct (Prompt),40.75%,48.00%,45.00%,33.00%,37.00%
6,Qwen3-32B (Prompt),39.75%,49.00%,42.50%,30.50%,37.00%
7,Qwen3-235B-A22B-Instruct-2507-FP8 (Prompt),37.25%,49.50%,31.50%,25.50%,42.50%
8,Qwen3-235B-A22B-FP8 (Prompt),33.13%,43.00%,33.00%,30.00%,26.50%
9,DeepSeek-V3-0324 (Prompt),29.50%,38.50%,26.50%,22.00%,31.00%
10,GPT-4o-mini (Prompt),28.88%,36.00%,26.50%,22.00%,31.00%
11,Qwen3-8B (Prompt),23.50%,31.00%,26.00%,16.00%,21.00%
12,Qwen3-235B-A22B-Thinking-2507-FP8 (Prompt),18.00%,20.50%,20.50%,16.00%,15.00%
13,Claude 4 Sonnet (Thinking On 10k),15.25%,21.00%,7.00%,16.50%,16.50%
14,Claude 4 Sonnet (Thinking Off),1.62%,2.00%,0.50%,2.50%,1.50%
15,DeepSeek-R1-0528 (Prompt),0.00%,0.00%,0.00%,0.00%,0.00%
