Rank,Model,Non_Live Overall Acc,AST Summary,Simple AST,Python Simple AST,Java Simple AST,JavaScript Simple AST,Multiple AST,Parallel AST,Parallel Multiple AST,Irrelevance Detection
1,Qwen3-235B-A22B-Instruct-2507-FP8 (Prompt),90.37%,90.35%,80.42%,97.25%,66.00%,78.00%,96.50%,93.50%,91.00%,90.42%
2,Qwen3-235B-A22B-FP8 (Prompt),89.48%,90.71%,79.33%,95.00%,67.00%,76.00%,97.50%,94.00%,92.00%,84.58%
3,Qwen3-8B (Prompt),89.23%,89.77%,77.58%,96.75%,62.00%,74.00%,97.00%,94.00%,90.50%,87.08%
4,GPT-4.1 (Prompt),88.75%,88.54%,79.17%,95.50%,64.00%,78.00%,94.00%,92.50%,88.50%,89.58%
5,Qwen3-32B (Prompt),88.57%,89.25%,77.50%,97.50%,65.00%,70.00%,96.00%,91.50%,92.00%,85.83%
6,GPT-4o-mini (Prompt),87.68%,87.73%,80.42%,94.25%,67.00%,80.00%,92.50%,90.00%,88.00%,87.50%
7,DeepSeek-R1-0528 (Prompt),85.77%,85.44%,71.25%,91.75%,58.00%,64.00%,94.50%,90.50%,85.50%,87.08%
8,Claude 4 Sonnet (Thinking On 10k),85.17%,84.17%,71.17%,88.50%,63.00%,62.00%,92.00%,88.00%,85.50%,89.17%
9,Qwen3-235B-A22B-Thinking-2507-FP8 (Prompt),84.62%,83.90%,60.58%,93.75%,54.00%,34.00%,95.50%,91.50%,88.00%,87.50%
10,GPT-4o-2024-08-06 (Prompt),82.72%,80.17%,61.17%,89.50%,48.00%,46.00%,87.50%,92.00%,80.00%,92.92%
11,GPT-o3-high (Prompt),81.82%,81.12%,77.00%,93.00%,64.00%,74.00%,91.00%,88.00%,68.50%,84.58%
12,Kimi-K2-Instruct (Prompt),80.65%,76.75%,78.50%,95.50%,64.00%,76.00%,87.50%,60.00%,81.00%,96.25%
13,GPT-o4-mini-high (Prompt),79.90%,77.69%,73.25%,88.75%,65.00%,66.00%,89.00%,74.50%,74.00%,88.75%
14,DeepSeek-V3-0324 (Prompt),76.42%,75.00%,77.50%,87.50%,67.00%,78.00%,91.50%,65.50%,65.50%,82.08%
15,Claude 4 Sonnet (Thinking Off),75.43%,70.75%,72.00%,92.00%,62.00%,62.00%,89.50%,55.00%,66.50%,94.17%
