Rank,Model,Live Overall Acc,AST Summary,Python Simple AST,Python Multiple AST,Python Parallel AST,Python Parallel Multiple AST,Irrelevance Detection,Relevance Detection
1,Claude 4 Sonnet (Thinking On 10k),82.54%,79.72%,84.88%,78.63%,87.50%,66.67%,87.30%,61.11%
2,Qwen3-32B (Prompt),81.08%,82.83%,87.98%,81.67%,87.50%,75.00%,78.57%,72.22%
3,Qwen3-235B-A22B-Thinking-2507-FP8 (Prompt),80.90%,80.90%,86.05%,79.39%,100.00%,79.17%,81.07%,72.22%
4,GPT-4o-2024-08-06 (Prompt),80.81%,74.76%,77.91%,74.07%,87.50%,62.50%,90.82%,44.44%
5,Qwen3-235B-A22B-FP8 (Prompt),80.14%,81.64%,89.15%,79.68%,93.75%,79.17%,77.89%,77.78%
6,Claude 4 Sonnet (Thinking Off),79.65%,71.58%,83.72%,68.76%,87.50%,54.17%,92.63%,50.00%
7,DeepSeek-R1-0528 (Prompt),79.52%,79.50%,82.95%,78.54%,87.50%,79.17%,79.59%,77.78%
8,GPT-o4-mini-high (Prompt),79.16%,77.28%,81.40%,76.54%,75.00%,66.67%,82.31%,66.67%
9,GPT-o3-high (Prompt),79.03%,80.01%,86.43%,78.35%,81.25%,83.33%,77.44%,83.33%
10,Kimi-K2-Instruct (Prompt),78.45%,81.94%,86.82%,81.20%,87.50%,58.33%,73.24%,72.22%
11,GPT-4.1 (Prompt),78.14%,78.09%,84.50%,76.35%,93.75%,75.00%,78.00%,88.89%
12,Qwen3-8B (Prompt),78.10%,79.94%,82.56%,79.30%,81.25%,79.17%,74.94%,94.44%
13,GPT-4o-mini (Prompt),77.92%,78.68%,81.78%,77.78%,93.75%,75.00%,76.64%,83.33%
14,Qwen3-235B-A22B-Instruct-2507-FP8 (Prompt),76.99%,82.24%,86.43%,81.29%,81.25%,79.17%,68.71%,88.89%
15,DeepSeek-V3-0324 (Prompt),74.19%,77.35%,86.05%,75.12%,93.75%,70.83%,69.16%,83.33%
