Rank,Model,Multi Turn Overall Acc,Base,Miss Func,Miss Param,Long Context
1,Kimi-K2-Instruct (Prompt),40.75%,48.00%,45.00%,33.00%,37.00%
2,Qwen3-32B (Prompt),39.75%,49.00%,42.50%,30.50%,37.00%
3,Qwen3-235B-A22B-Instruct-2507-FP8 (Prompt),37.25%,49.50%,31.50%,25.50%,42.50%
4,DeepSeek-V3-0324 (Prompt),29.50%,38.50%,26.50%,22.00%,31.00%
5,Qwen3-235B-A22B-Thinking-2507-FP8 (Prompt),18.00%,20.50%,20.50%,16.00%,15.00%
6,Claude 4 Sonnet (Thinking On 10k),15.25%,21.00%,7.00%,16.50%,16.50%
7,Claude 4 Sonnet (Thinking Off),1.62%,2.00%,0.50%,2.50%,1.50%
8,DeepSeek-R1-0528 (Prompt),0.00%,0.00%,0.00%,0.00%,0.00%
9,Qwen3-235B-A22B-FP8 (Prompt),0.00%,0.00%,0.00%,0.00%,0.00%
10,Qwen3-8B (Prompt),0.00%,0.00%,0.00%,0.00%,0.00%
