Benchmark,Accuracy,Max Turns Hit,Invalid Plan,Time (s),Total Samples,Successful Samples,Error Samples,Success Rate
NVDLibraryBenchmark,0.7821,0.0000,0.0000,56.26,78,78,0,1.0000
VirusTotalBenchmark,0.8212,0.0000,0.0000,86.47,151,151,0,1.0000
ITType0Benchmark,0.1982,0.0000,0.0000,85.69,111,111,0,1.0000
ITType1Benchmark,0.4880,0.0000,0.0000,105.59,125,125,0,1.0000
TicketTracking,0.4505,0.0000,0.0000,51.71,91,91,0,1.0000
LangChainMath,0.5500,0.0000,0.4500,29.24,20,20,0,1.0000
LangChainRelational,0.1500,0.0000,0.8500,25.20,20,20,0,1.0000
MultiverseMathHard,0.0400,0.0000,0.9600,101.44,100,100,0,1.0000
LangChainMultitoolTypeWriterHard,0.0000,0.0000,1.0000,43.68,30,30,0,1.0000
LangChainTypeWriterHard,0.0000,0.0000,1.0000,67.74,30,30,0,1.0000
ClimateBenchmark,0.0203,0.0000,0.9746,153.72,197,197,0,1.0000
TMIHallucination,0.7705,0.0000,0.0000,153.76,61,61,0,1.0000
CVECPEBenchmark,0.3036,0.0000,0.6786,59.43,56,56,0,1.0000
VirusTotalAgentic,0.0000,0.0000,0.9630,50.08,54,54,0,1.0000
