Benchmark,Accuracy,Max Turns Hit,Invalid Plan,Time (s),Total Samples,Successful Samples,Error Samples,Success Rate
NVDLibraryBenchmark,0.3718,0.0000,0.0000,260.03,78,78,0,1.0000
VirusTotalBenchmark,0.7815,0.0000,0.0000,264.52,151,151,0,1.0000
ITType0Benchmark,0.3153,0.0000,0.0000,313.47,111,111,0,1.0000
ITType1Benchmark,0.1440,0.0000,0.0000,322.88,125,125,0,1.0000
TicketTracking,0.4725,0.0000,0.0000,245.34,91,91,0,1.0000
LangChainMath,0.2500,0.5500,0.0000,906.92,20,20,0,1.0000
LangChainRelational,0.8500,0.0000,0.1000,413.00,20,20,0,1.0000
MultiverseMathHard,0.3700,0.1900,0.0100,1110.97,100,100,0,1.0000
LangChainMultitoolTypeWriterHard,0.2667,0.1000,0.0000,733.60,30,30,0,1.0000
LangChainTypeWriterHard,0.1333,0.0333,0.0000,420.11,30,30,0,1.0000
ClimateBenchmark,0.5939,0.0711,0.0558,1936.25,197,197,0,1.0000
TMIHallucination,0.2295,0.0000,0.0000,240.08,61,61,0,1.0000
CVECPEBenchmark,0.3750,0.0000,0.0357,801.20,56,56,0,1.0000
VirusTotalAgentic,0.5370,0.0000,0.0556,485.27,54,54,0,1.0000
