Note that User Simulator few shot messages have been omitted
shape: (4, 8)
+--------------+--------+-------------+-------------+-------------+-------------+------------+------------+
| sandbox_mess | sender | recipient   | content     | openai_func | tool_call_e | tool_trace | visible_to |
| age_index    | ---    | ---         | ---         | tion_name   | xception    | ---        | ---        |
| ---          | enum   | enum        | str         | ---         | ---         | list[str]  | list[enum] |
| i32          |        |             |             | str         | str         |            |            |
+=========================================================================================================+
| 0            | SYSTEM | EXECUTION_E | import json | null        | null        | null       | null       |
|              |        | NVIRONMENT  | from tool_s |             |             |            |            |
|              |        |             | andbox.tool |             |             |            |            |
|              |        |             | s.contact   |             |             |            |            |
|              |        |             | import add_ |             |             |            |            |
|              |        |             | contact,    |             |             |            |            |
|              |        |             | modify_cont |             |             |            |            |
|              |        |             | act, remove |             |             |            |            |
|              |        |             | _contact,   |             |             |            |            |
|              |        |             | search_cont |             |             |            |            |
|              |        |             | acts        |             |             |            |            |
|              |        |             | from tool_s |             |             |            |            |
|              |        |             | andbox.tool |             |             |            |            |
|              |        |             | s.setting   |             |             |            |            |
|              |        |             | import get_ |             |             |            |            |
|              |        |             | cellular_se |             |             |            |            |
|              |        |             | rvice_statu |             |             |            |            |
|              |        |             | s, get_curr |             |             |            |            |
|              |        |             | ent_locatio |             |             |            |            |
|              |        |             | n, get_loca |             |             |            |            |
|              |        |             | tion_servic |             |             |            |            |
|              |        |             | e_status,   |             |             |            |            |
|              |        |             | get_wifi_st |             |             |            |            |
|              |        |             | atus, get_l |             |             |            |            |
|              |        |             | ow_battery_ |             |             |            |            |
|              |        |             | mode_status |             |             |            |            |
|              |        |             | , set_cellu |             |             |            |            |
|              |        |             | lar_service |             |             |            |            |
|              |        |             | _status,    |             |             |            |            |
|              |        |             | set_locatio |             |             |            |            |
|              |        |             | n_service_s |             |             |            |            |
|              |        |             | tatus, set_ |             |             |            |            |
|              |        |             | low_battery |             |             |            |            |
|              |        |             | _mode_statu |             |             |            |            |
|              |        |             | s, set_wifi |             |             |            |            |
|              |        |             | _status     |             |             |            |            |
|              |        |             | from tool_s |             |             |            |            |
|              |        |             | andbox.tool |             |             |            |            |
|              |        |             | s.messaging |             |             |            |            |
|              |        |             | import sear |             |             |            |            |
|              |        |             | ch_messages |             |             |            |            |
|              |        |             | , send_mess |             |             |            |            |
|              |        |             | age_with_ph |             |             |            |            |
|              |        |             | one_number  |             |             |            |            |
|              |        |             | from tool_s |             |             |            |            |
|              |        |             | andbox.tool |             |             |            |            |
|              |        |             | s.rapid_api |             |             |            |            |
|              |        |             | _search_too |             |             |            |            |
|              |        |             | ls import   |             |             |            |            |
|              |        |             | convert_cur |             |             |            |            |
|              |        |             | rency, sear |             |             |            |            |
|              |        |             | ch_lat_lon, |             |             |            |            |
|              |        |             | search_loca |             |             |            |            |
|              |        |             | tion_around |             |             |            |            |
|              |        |             | _lat_lon,   |             |             |            |            |
|              |        |             | search_stoc |             |             |            |            |
|              |        |             | k, search_w |             |             |            |            |
|              |        |             | eather_arou |             |             |            |            |
