Benchmark,Accuracy,Max Turns Hit,Invalid Plan,Time (s),Total Samples,Successful Samples,Error Samples,Success Rate
NVDLibraryBenchmark,0.4872,0.0000,0.0000,212.98,78,78,0,1.0000
VirusTotalBenchmark,0.7351,0.0000,0.0000,280.99,151,151,0,1.0000
ITType0Benchmark,0.5225,0.0000,0.0000,224.08,111,111,0,1.0000
ITType1Benchmark,0.6000,0.0000,0.0000,255.80,125,125,0,1.0000
TicketTracking,0.4615,0.0000,0.0000,129.20,91,91,0,1.0000
LangChainMath,0.5500,0.0500,0.0000,341.03,20,20,0,1.0000
LangChainRelational,0.9000,0.0000,0.0000,109.91,20,20,0,1.0000
MultiverseMathHard,0.1300,0.0800,0.0300,8677.36,100,100,0,1.0000
LangChainMultitoolTypeWriterHard,0.7667,0.1667,0.0000,7478.70,30,30,0,1.0000
LangChainTypeWriterHard,0.5000,0.1667,0.0000,3177.18,30,30,0,1.0000
ClimateBenchmark,0.5584,0.0305,0.0051,6185.45,197,197,0,1.0000
TMIHallucination,0.8361,0.0000,0.0000,529.89,61,61,0,1.0000
CVECPEBenchmark,0.5000,0.0000,0.0357,1463.20,56,56,0,1.0000
VirusTotalAgentic,0.2407,0.0185,0.0741,2118.19,54,54,0,1.0000
