Benchmark,Accuracy,Max Turns Hit,Invalid Plan,Time (s),Total Samples,Successful Samples,Error Samples,Success Rate
NVDLibraryBenchmark,0.5256,0.0000,0.0000,223.69,78,78,0,1.0000
VirusTotalBenchmark,0.7020,0.0000,0.0000,576.26,151,151,0,1.0000
ITType0Benchmark,0.4505,0.0000,0.0000,290.62,111,111,0,1.0000
ITType1Benchmark,0.5280,0.0000,0.0000,416.22,125,125,0,1.0000
TicketTracking,0.4176,0.0000,0.0000,485.34,91,91,0,1.0000
LangChainMath,0.5000,0.0000,0.5000,404.53,20,20,0,1.0000
LangChainRelational,0.0000,0.0000,1.0000,437.55,20,20,0,1.0000
MultiverseMathHard,0.0400,0.0000,0.8100,1517.09,100,100,0,1.0000
LangChainMultitoolTypeWriterHard,0.0000,0.0000,0.9667,396.25,30,30,0,1.0000
LangChainTypeWriterHard,0.0000,0.0000,0.9667,654.28,30,30,0,1.0000
ClimateBenchmark,0.0000,0.0000,0.9898,1213.88,197,197,0,1.0000
TMIHallucination,0.9180,0.0000,0.0000,445.43,61,61,0,1.0000
CVECPEBenchmark,0.3036,0.0000,0.6250,801.13,56,56,0,1.0000
VirusTotalAgentic,0.0000,0.0000,1.0000,519.17,54,54,0,1.0000
